My goal is to learn your language.	mi wile kama sona e toki sina.
I am learning Hungarian.	mi kama sona e toki Mosijo.
Why don't you tell her the truth?	sina toki ala e lon tawa ona tan seme?
Is that a wig?	ni li linja lawa sin anu seme?
Tom asked Mary to drive him to the office.	jan Ton li toki e wile ni tawa jan Mewi: ona li pana e jan Ton lon tomo pali kepeken tomo tawa.
What did Tom know?	jan Ton li sona e seme?
I'll never forget.	tenpo ala la mi weka e ijo.
Would you like to eat here?	sina wile moku lon ni anu seme?
Is there a theater in your town?	tomo musi li lon ala lon ma tomo sina?
That cloth is very rough.	len ni li pilin kiwen suli.
It may rain.	ken la telo li kama tan sewi.
She eats fruit.	ona li moku e kili.
Did you drink a lot yesterday?	tenpo suno pini la sina moku ala moku e telo mute?
They're taking us for fools.	ona mute li pilin e ni: mi mute li nasa.
I love new systems of writing.	mi olin e nasin sitelen sin.
She didn't like the present.	ijo pana li pona ala tawa ona.
Be quiet, or the baby will wake up.	o kalama ala o pini ala e lape pi jan lili.
This writer is Canadian.	jan sitelen ni li tan ma Kanata.
Do you want to go?	sina wile ala wile tawa?
They are going to stay in my home.	ona li awen lon tomo mi.
Mary likes you.	sina pona tawa jan Mewi.
Was it cold last night?	tenpo pimeja pini la lete li lon ala lon?
We're smart people.	mi jan pi lawa wawa.
Have you decided on a name for your baby?	sina jo ala jo e nimi tawa jan lili sina?
No one seems to be very afraid.	tawa lukin la jan ala li pilin monsuta mute.
He isn't going.	ona li tawa ala.
All the furniture in the abandoned house was covered with dust.	tomo pi jan ala la ko lili li selo e supa ale.
He is the father of two children.	ona li mama mije pi jan lili tu.
We will go for a walk, unless it rains.	telo sewi li kama ala, la mi tawa kepeken noka.
When did you see Tatoeba for the first time?	tenpo seme la sina lukin e ilo Tatowepa lon tenpo nanpa wan?
He went to Boston by car.	ona li tawa ma tomo Pasen kepeken tomo tawa.
If you don't want it, I'll eat it.	sina wile ala e ni la mi moku.
If you understand, then do it properly.	sina sona e ona, la o pali pona e ona.
Tom said that.	jan Ton li toki e ni.
Are you Catholic?	nasin sewi pi jan Papa li lawa e sina anu seme?
I like jazz.	kalama musi Jasa li pona tawa mi.
Do you eat that?	sina moku e ni anu seme?
I'm learning an old Chinese game.	mi kama sona e musi pi sin ala. ona li kama tan ma Sonko.
I am happy.	mi pilin pona.
Yesterday, I had a fight with my younger brother.	tenpo suno pini la mi utala e jan sama lili mi.
You must show your passport.	sina wile ken e ni: ona li lukin e lipu sina pi jan tawa.
They locked the doors and windows.	ona li pini e lupa tomo e lupa suno.
Tatoeba. Is that the name of your new girlfriend?	jan Tatowepa li nimi pi meli olin sina anu seme?
Today I feel better than I did yesterday.	tenpo suno ni la, mi pilin pona mute. tenpo suno pini la, mi pilin pona lili.
An old man was at rest under the tree.	jan pi sike suno mute li lape lon noka kasi.
And they said one to another, Go to, let us make brick, and burn them thoroughly.	"jan li toki e ni: ""o kama! mi mute o pali e kiwen, o seli e ona."""
I don't want cereal.	mi wile ala e pan lon telo walo.
I still don't know how to create a MediaWiki template.	mi awen sona ala e ni: mi ken pali e lipu mama lon ma Misijawiki kepeken nasin seme.
There's a monster under my bed.	monsuta li lon anpa pi supa lape mi.
Are you afraid of dogs?	soweli li monsuta e sina?
This path is dangerous.	nasin ni li ken kama e ike.
The seventh day is Sunday.	tenpo suno nanpa luka tu li tenpo suno Suno.
I didn't have my keys and I got in through the window.	mi jo ala e ilo open mi. tan ni la mi kama lon insa tomo kepeken e lupa suno.
The train was hurrying west.	tomo tawa linja li tawa wawa tawa pini pi nasin suno.
How do you plan to handle this?	sina wile pali lon ni kepeken nasin seme?
I didn't do this.	mi pali ala e ni.
I kissed his belly.	mi uta e selo insa ona.
Simple language is good language.	toki pona li toki pona.
We saved the best for last.	mi awen e pona nanpa wan tawa pini.
I want peace.	mi wile e utala ala.
They love music.	kalama musi li pona tawa ona.
There's a bottle bank and a clothes-recycling bank on the corner of the street.	poki pana pi poki telo en poki pana len li lon insa nasin.
Tom and Mary laughed.	jan Ton en jan Mewi li pana e kon pona.
You should think of their religions.	sina wile toki e nasin sewi pi ona mute.
I have never been to Florida.	tenpo ala la mi kama tawa ma Polita.
What is the elephant's age?	soweli pi nena suli li jo e sike suno pi mute seme?
He moves through the water like a fish.	ona li tawa lon telo, sama kala.
Can I go to the movies tomorrow?	tenpo suno kama la mi ken tawa tomo pi sitelen tawa anu seme?
Tom told his friends that he never eats meat.	jan Ton li toki e ni tawa jan pona mute pi ona sama: tenpo ala la ona li moku e soweli.
I prefer spring to autumn.	mi la tenpo kasi li pona mute, tenpo pi lete lili li pona lili.
Think before you speak.	tenpo nanpa wan la o pilin. tenpo nanpa tu la o toki.
The pen is on the table.	ilo sitelen li lon supa.
I loved you once.	tenpo pini la, mi olin e sina.
Tom gave the money back to Mary.	jan Ton li pana sin e mani tawa jan Malija.
No one knew it.	jan ala li sona e ni.
Tom won't understand that.	jan Ton li sona ala e ni.
You have a beautiful daughter.	sina jo e jan lili pi pona lukin.
Tom refuses to work.	jan Ton li wile ala pali.
I'm not copying your homework.	mi sitelen ala e pali mi pi tomo sona sama pali sina.
I live in a city.	mi jo e tomo lon ma tomo suli.
Is this your cellphone?	ni li ilo sina anu seme?
Is Donald Trump Islamophobic?	nasin sewi Silami li ike ala ike tawa jan Tona Tun?
The baby needs its mother.	jan lili li wile e mama meli ona
Did you kill Tom?	sina moli ala moli e jan Ton?
Have a croissant.	o moku e pan mun.
I really don't want to do this.	mute la mi wile ala pali e ni.
I'm learning Cantonese.	mi kama sona e toki Kantun.
There were two bridges.	nasin tu pi sewi telo li lon.
Are you listening to me at all?	sina kute ala kute kin e mi?
If Mary didn't want to be here, she wouldn't have come.	jan Mewi li wile ala lon ni la, ona li kama ala.
Attaboy!	pona a!
Do you know how to fish?	sina sona ala sona alasa e kala?
Goro is good at English.	jan Kolo li pona lon toki Inli.
For two years he had a prosperous administration.	sike suno tu la ona li pana e lawa pona.
Sleep time is over.	tenpo lape li pini.
I still haven't paid him.	tenpo ni la, mi pana ala e mani tawa ona.
She is capable of teaching English.	ona li ken pana e sona pi toki Inli.
Life ain't easy.	ale li pona pali ala.
My parents loved you.	sina pona mute tawa mama tu mi.
Choose the best moment.	o kepeken e tenpo pi pona mute.
I don't use Facebook anymore.	mi kepeken sin ala e ilo Pesipuke.
You want to tell me this.	sina wile toki e ni tawa mi.
These claims are false.	toki ni li lon ala.
Use the telephone.	o kepeken ilo toki.
Mary is babbling, isn't she?	jan Mewi li toki nasa anu seme?
The lion is called the king of animals.	jan li toki e ni: soweli wawa li soweli lawa.
I have four children.	mi jo e jan lili tu tu.
You should tell the truth.	sina wile toki e lon.
She says she isn't thirsty.	ona li toki e ni: ona li wile ala moku e telo.
There are times when I just want to burst into a horde of rats and run off into the wilderness.	tenpo la mi wile e ni: mi pakala li kama soweli lili mute li tawa ma pi jan ala.
How did you do that?	sina pali e ni kepeken nasin seme?
I won't ask why you want that.	mi wile ala sona e ni: tan seme la sina wile e ni.
The sky has brightened.	kon sewi li kama suno.
What is a good life?	lon pona li seme?
Tom was Mary's first boyfriend.	jan Ton li jan olin nanpa wan pi jan Mewi.
Tom is a very decent fellow.	jan Ton li mije pi pona mute.
Tom is doing that.	jan Ton li pali e ni.
What happened?	seme li kama?
Do you have a good salary?	sina kama jo e mani mute ala mute tawa pali sina?
I don't feel any pain.	mi pilin ala ike.
